# TVG IDs para playlists IPTV - Rede Globo
# Gerado em: 2026-03-12 14:03:10
#
# Formato: tvg-id,tvg-name,tvg-logo,group-title

globo_sp,"Globo São Paulo",https://s.glbimg.com/og/rg/static/img/redeglobo/logo-60x60.png,Globo
globo_rj,"Globo Rio de Janeiro",https://s.glbimg.com/og/rg/static/img/redeglobo/logo-60x60.png,Globo
globo_df,"Globo Distrito Federal",https://s.glbimg.com/og/rg/static/img/redeglobo/logo-60x60.png,Globo
globo_bh,"Globo Belo Horizonte",https://s.glbimg.com/og/rg/static/img/redeglobo/logo-60x60.png,Globo
globo_pr,"Globo Paraná",https://s.glbimg.com/og/rg/static/img/redeglobo/logo-60x60.png,Globo
globo_pe,"Globo Pernambuco",https://s.glbimg.com/og/rg/static/img/redeglobo/logo-60x60.png,Globo
globo_ba,"Globo Bahia",https://s.glbimg.com/og/rg/static/img/redeglobo/logo-60x60.png,Globo
globo_pb,"Globo Paraíba",https://s.glbimg.com/og/rg/static/img/redeglobo/logo-60x60.png,Globo
globo_es,"Globo Espírito Santo",https://s.glbimg.com/og/rg/static/img/redeglobo/logo-60x60.png,Globo
globo_mg,"Globo Minas Gerais",https://s.glbimg.com/og/rg/static/img/redeglobo/logo-60x60.png,Globo
globo_ce,"Globo Ceará",https://s.glbimg.com/og/rg/static/img/redeglobo/logo-60x60.png,Globo
globo_ms,"Globo Mato Grosso do Sul",https://s.glbimg.com/og/rg/static/img/redeglobo/logo-60x60.png,Globo
globo_mt,"Globo Mato Grosso",https://s.glbimg.com/og/rg/static/img/redeglobo/logo-60x60.png,Globo
